id,displayName,CHECK,contributionDescription,impactDescription,bio,websiteUrl,applicantType,prelimResult,reportReason,includedInBallots,initialCategory,Pairwise category,details
0x2151b32cff3263dfc9ca9202345af541b6f4b6682a615ba332a6f2186c57160b,Dmail Network,!PASS,"Stay Informed and Connected with Intelligent and Secure Messaging & Notifications.

Dmail Network is an AI-powered decentralized communication infrastructure built to provide encrypted emails, unified notifications, and targeted marketing across multiple chains and dApps for users, developers, marketers and influencers.",,"Stay Informed and Connected with Intelligent and Secure Messaging & Notifications.

Dmail Network is an AI-powered decentralized communication infrastructure built to provide encrypted emails, unified notifications, and targeted marketing across multiple chains and dApps for users, developers, marketers and influencers.",https://dmail.ai/,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x2151b32cff3263dfc9ca9202345af541b6f4b6682a615ba332a6f2186c57160b
0xb22bb94638df98b8bd2327ea2a794786ff9df19ca2802c023e2a548ef099a9cc,Unitap,!PASS,"The easiest path to onboard users into web3 networks and communities.

Blockchain networks struggle to acquire new users. The competition is fierce! 

It’s hard enough to get exposure to a targeted audience interested in learning about a new blockchain network and its Dapps. It’s even harder to convert them into users when there is more friction than incentives in the onboarding process. Even worse, hundreds of networks are launching every year making it even more challenging to attract and retain new users.
Unitap aims to change this. 

In Unitap anyone will be able to learn about Web3 from zero, find new networks and dapps, learn how to use them with how-to-do videos, get free gas drips to get started, and do missions to get rewarded for using new products, ALL IN ONE PLACE. Additionally, Unitap is Sybil-resistant therefore all new users will be unique and the incentives won’t be drained by bots or bad actors. 

Most future web3 users have not been onboarded yet, these users will come through the path of least resistance and more incentives. Unitap is optimizing for offering both.

Unitap has deployed Gas Tap, Token Tap, and Prize Tap on Optimism.

Gas Tap: Unique humans can obtain tiny amounts of gas tokens to get started on Optimism. X claims.

Token Tap: Anyone can distribute any kind of tokens gated by the requirements they wish. Unitap distributed OP as incentives to anyone who claimed from the Gas Tap as a PoC and Glo Dollar distributed 500 USDGLO on Optimism using Token Tap.

Prize Tap: Anyone can create raffles and gate them with the requirements they want. Glo Dollar used the Prize Tap contract in Optimism to distribute three 100 USDGLO prizes to users that sent at least 0.1 USDGLO to friends in Optimism.
",,"The easiest path to onboard users into web3 networks and communities.

Blockchain networks struggle to acquire new users. The competition is fierce! 

It’s hard enough to get exposure to a targeted audience interested in learning about a new blockchain network and its Dapps. It’s even harder to convert them into users when there is more friction than incentives in the onboarding process. Even worse, hundreds of networks are launching every year making it even more challenging to attract and retain new users.
Unitap aims to change this. 

In Unitap anyone will be able to learn about Web3 from zero, find new networks and dapps, learn how to use them with how-to-do videos, get free gas drips to get started, and do missions to get rewarded for using new products, ALL IN ONE PLACE. Additionally, Unitap is Sybil-resistant therefore all new users will be unique and the incentives won’t be drained by bots or bad actors. 

Most future web3 users have not been onboarded yet, these users will come through the path of least resistance and more incentives. Unitap is optimizing for offering both.

Unitap has deployed Gas Tap, Token Tap, and Prize Tap on Optimism.

Gas Tap: Unique humans can obtain tiny amounts of gas tokens to get started on Optimism. X claims.

Token Tap: Anyone can distribute any kind of tokens gated by the requirements they wish. Unitap distributed OP as incentives to anyone who claimed from the Gas Tap as a PoC and Glo Dollar distributed 500 USDGLO on Optimism using Token Tap.

Prize Tap: Anyone can create raffles and gate them with the requirements they want. Glo Dollar used the Prize Tap contract in Optimism to distribute three 100 USDGLO prizes to users that sent at least 0.1 USDGLO to friends in Optimism.
",Unitap.app,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0xb22bb94638df98b8bd2327ea2a794786ff9df19ca2802c023e2a548ef099a9cc
0x589cf34370745bd932dc7da736d57eeb0f51ff9189db3b96ec9c54b675fa7a33,Coinvise,!PASS,"Coinvise is the essential rewards toolkit for creators, platforms, and ecosystems, offering a powerful, no-cost solution to supercharge engagement and growth. Our intuitive, no-code platform allows users to quickly launch customizable token or NFT reward campaigns. Trusted by industry leaders like Base, The Block, Vertex Protocol, Decent and creators on Farcaster have successfully rolled out over 1,000 campaigns.",,"Coinvise is the essential rewards toolkit for creators, platforms, and ecosystems, offering a powerful, no-cost solution to supercharge engagement and growth. Our intuitive, no-code platform allows users to quickly launch customizable token or NFT reward campaigns. Trusted by industry leaders like Base, The Block, Vertex Protocol, Decent and creators on Farcaster have successfully rolled out over 1,000 campaigns.",https://coinvise.co,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x589cf34370745bd932dc7da736d57eeb0f51ff9189db3b96ec9c54b675fa7a33
0xee5d01c75191a7ee21ae7360317d9d5ec8c3dc0e0959bcb8eba16dd3c67b7ae5,Galxe,!PASS,"Discover the power of true community growth. We connect millions of users with brands through reward-based loyalty programs. Created by 
@Galxe
.
",,"Discover the power of true community growth. We connect millions of users with brands through reward-based loyalty programs. Created by 
@Galxe
.
",https://www.galxe.com/,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0xee5d01c75191a7ee21ae7360317d9d5ec8c3dc0e0959bcb8eba16dd3c67b7ae5
0xe805428952a3bf5d3966c6911c107451d356fa0d613dbd8c9e7dcee10654411a,Keng Lernitas,!PASS,"Keng Lernitas is a meme project that has been called the “biggest meme on Optimism” upon its creation. It began as an experiment by Kain Warwick to test the new gas costs after the implementation of EIP-4844. Consequently, a curated degen ecosystem, featuring $2192/$ZORKSEES, was born.

Now, to explain what we do, let’s explore our brief history. Last March, Kain airdropped $2192 on Optimism to SNX stakers and asked the brand new holders to burn 90% of their tokens to be “spared” from the oubliettes. This initiated the first alignment test. The newly formed team behind the meme project, including Kain and his brother Grant Warwick, recognized the faithful and rewarded them with airdropped $ZORKSEES tokens on Base. For the next challenge, Keng Lernitas and Zorksees were compelled to “batel.” The team challenged the community to bridge tokens from Solana to Base using Wormhole, and once again, sacrifice tokens by transferring them into a ""batel"" wallet. The side that achieved the highest TVL would win. In total, more than 40% of the combined supply of $2192/$ZORKSEES has already been burned or sent to ""batel"" for the promise of glory (https://dune.com/nice2win/lernitas2192).

In summary, we are an event-driven meme project striving to create value for our community and allies. The newly established governance, called Keng Lernitas Ekosistem, is asking for a grant to continue building on our gamification culture by hosting more games and events. Throughout our journey, we have made fierce allies from the Synthetix and Infinex communities. Now, it is only natural to seek an alliance with the mighty Optimism Superchain!

Some facts:

-Around $250,000 USD of LP/bribes/incentives on Velodrome/Aerodrome was spent by Kain Warwick for experimental purposes
-35.5% of $2192 supply has been burned
-27% of $ZORKSEES supply and 8% of $2192 supply was sent to ""batel"" wallet
-60k $2192 holders
-6k $ZORKSEES holders on EVM

Source: https://dune.com/nice2win/lernitas2192 / https://dune.com/nice2win/zorksees",,"Keng Lernitas is a meme project that has been called the “biggest meme on Optimism” upon its creation. It began as an experiment by Kain Warwick to test the new gas costs after the implementation of EIP-4844. Consequently, a curated degen ecosystem, featuring $2192/$ZORKSEES, was born.

Now, to explain what we do, let’s explore our brief history. Last March, Kain airdropped $2192 on Optimism to SNX stakers and asked the brand new holders to burn 90% of their tokens to be “spared” from the oubliettes. This initiated the first alignment test. The newly formed team behind the meme project, including Kain and his brother Grant Warwick, recognized the faithful and rewarded them with airdropped $ZORKSEES tokens on Base. For the next challenge, Keng Lernitas and Zorksees were compelled to “batel.” The team challenged the community to bridge tokens from Solana to Base using Wormhole, and once again, sacrifice tokens by transferring them into a ""batel"" wallet. The side that achieved the highest TVL would win. In total, more than 40% of the combined supply of $2192/$ZORKSEES has already been burned or sent to ""batel"" for the promise of glory (https://dune.com/nice2win/lernitas2192).

In summary, we are an event-driven meme project striving to create value for our community and allies. The newly established governance, called Keng Lernitas Ekosistem, is asking for a grant to continue building on our gamification culture by hosting more games and events. Throughout our journey, we have made fierce allies from the Synthetix and Infinex communities. Now, it is only natural to seek an alliance with the mighty Optimism Superchain!

Some facts:

-Around $250,000 USD of LP/bribes/incentives on Velodrome/Aerodrome was spent by Kain Warwick for experimental purposes
-35.5% of $2192 supply has been burned
-27% of $ZORKSEES supply and 8% of $2192 supply was sent to ""batel"" wallet
-60k $2192 holders
-6k $ZORKSEES holders on EVM

Source: https://dune.com/nice2win/lernitas2192 / https://dune.com/nice2win/zorksees",https://kenglernitas.wtf,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0xe805428952a3bf5d3966c6911c107451d356fa0d613dbd8c9e7dcee10654411a
0x750ac601aae22c9c215d75827d0fedff8e542e0d3ee7977e2f5fa2df93dfef3f,Coordinape,!PASS,"Coordinape is reimagining collaboration and helping teams build connections, ownership, and reputation in the digital economy.

Our newest onchain contracts, for CoLinks and CoSoul, have helped tens of thousands of individuals establish reputation on Optimism, and create a social graph for connecting more deeply. We are currently working to make GIVE a ubiquitous onchain primitive that helps build context and connections between people using the OP Superchain. This involves enabling the ability to send GIVE on Farcaster and sync your reputation to EAS on Base, with 8,000+ participants, and over 45,000 attestations so far.",,"Coordinape is reimagining collaboration and helping teams build connections, ownership, and reputation in the digital economy.

Our newest onchain contracts, for CoLinks and CoSoul, have helped tens of thousands of individuals establish reputation on Optimism, and create a social graph for connecting more deeply. We are currently working to make GIVE a ubiquitous onchain primitive that helps build context and connections between people using the OP Superchain. This involves enabling the ability to send GIVE on Farcaster and sync your reputation to EAS on Base, with 8,000+ participants, and over 45,000 attestations so far.",www.coordinape.com,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x750ac601aae22c9c215d75827d0fedff8e542e0d3ee7977e2f5fa2df93dfef3f
0x5ab3988f6cffb2041d2a8140ec4d0887ad3aa602c5fdf8abe10a55f5f04bd1bc,Phi,!PASS,The open credential layer for onchain identity.,,The open credential layer for onchain identity.,https://phiprotocol.xyz/,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x5ab3988f6cffb2041d2a8140ec4d0887ad3aa602c5fdf8abe10a55f5f04bd1bc
0x77fc2c318144de4aa18085f42bce9356c87b1a3888dd6c3f46a59a4b744284f4,$ENJOY,!PASS,"$ENJOY, the first tradable ERC-20 token on Zora Network, is reshaping onchain media creation and curation by enabling the easy rewarding of enjoyable onchain content. Our points system recognizes unique contributions to the scene, effectively bridging the gap between online creators and enjoyoors and real-world value.",,"$ENJOY, the first tradable ERC-20 token on Zora Network, is reshaping onchain media creation and curation by enabling the easy rewarding of enjoyable onchain content. Our points system recognizes unique contributions to the scene, effectively bridging the gap between online creators and enjoyoors and real-world value.",https://www.enjoy.tech/,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x77fc2c318144de4aa18085f42bce9356c87b1a3888dd6c3f46a59a4b744284f4
0x4ce8b4b975e7eb4ea186d30100b1543a0e7b49b83ffcd02d77d83655b9f3e90d,far.quest - Farcaster Super App,!PASS,"far.quest is a Farcaster super app which has helped 200,000+ web3 users learn about Farcaster. 

far.quest provides education through FarSchool, Farcaster onboarding quests, a Farcaster client for pros, a Farcaster ID marketplace through FarMarket, Farcaster data trends, and more.",,"far.quest is a Farcaster super app which has helped 200,000+ web3 users learn about Farcaster. 

far.quest provides education through FarSchool, Farcaster onboarding quests, a Farcaster client for pros, a Farcaster ID marketplace through FarMarket, Farcaster data trends, and more.",https://far.quest,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x4ce8b4b975e7eb4ea186d30100b1543a0e7b49b83ffcd02d77d83655b9f3e90d
0x2edfafa9e559c2a50a0f9aeaad80ae1f1650be048b9e922624368bb7be97b364,Crypto Composite,!PASS,"The superchain's first ""fake"" social network",,"The superchain's first ""fake"" social network",cryptocomposite.xyz,PROJECT,Keep,,0,Social,Community Efforts,https://round4-api-eas.retrolist.app/projects/0x2edfafa9e559c2a50a0f9aeaad80ae1f1650be048b9e922624368bb7be97b364
